an inconvenience;a state of problems or trouble, often causing a delay or loss of comfort
underwhelming;not causing  _someone to feel_ any excitement or admiration
a decade;a period of ten years
an antagonist;a person who is strongly opposed to something or someone
throughout;in every part, or during the whole period of time
a stance;a way of thinking about something, especially expressed in a publicly stated opinion
to scour;to search a place or thing very carefully in order to try to find something
evidence;one or more reasons for believing that something is or is not true
hitherto;until now or until a particular time
a thrill;a feeling of extreme excitement, usually caused by something pleasant
